30052,United Kingdom,30-34,Male,Developer; Programmer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,13,75000,C#; Node.js; Salesforce; SQL; SQL Server,C#; F#; Go; Haskell; Node.js; Redis; Scala,No,Employed full-time,Education,"1,000-4,999 employees",0,I'm somewhat satisfied with my job,Multiple times a day,Cats,Star Trek,Agree completely,Disagree somewhat,Limited resources
30053,Niger,30-34,Male,Engineer; Sr. Developer; Manager; Expert,Engineering manager,Engineering manager,8,55000,C; C++; Java; JavaScript; Perl; PHP; Python,Android; C; C++; C#; Perl; PHP; Python,No,Prefer not to disclose,,,,,,,,,,
30056,India,25-29,Male,Developer; Engineer; Programmer; Full Stack Overflow Developer,Full-stack web developer,Full-stack web developer,3.5,5000,JavaScript; PHP; SQL,Perl; PHP; Python; Ruby,Yes,Employed full-time,Software Products,500-999 employees,"I am not on a ""team""",I'm somewhat satisfied with my job,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",Dogs,Star Trek,Agree completely,Disagree somewhat,Poor team dynamics; Fragile code base; Poor documentation; Corporate policies; Outdated technologies; Interacting with non-technical people; Interacting with stupid people; Limited resources; Trying to be nice
30059,South Africa,25-29,Male,Programmer,DevOps,DevOps,3.5,15000,,,Other (please specify),Employed full-time,Telecommunications,5-9 employees,0,I love my job,Multiple times a day,Cats,Star Wars,Agree completely,Agree completely,Poor team dynamics
30060,Ireland {Republic},25-29,Male,Developer; Programmer; Full-stack Developer; Hacker,Full-stack web developer,Full-stack web developer,3.5,65000,C#; F#; JavaScript; Node.js; SQL; SQL Server,C#; CoffeeScript; F#; JavaScript; Node.js; SQL,Yes,Employed full-time,Consulting,100-499 employees,1,I'm somewhat satisfied with my job,Multiple times a day,Dogs,Star Wars; Star Trek,Agree completely,Disagree somewhat,Fragile code base; Poor documentation; Changing requirements
30061,Sweden,40-49,Prefer not to disclose,Sr. Developer; Full-stack Developer,Enterprise level services developer,Enterprise level services developer,13,75000,C#; PHP,AngularJS; C++; C#; Java; JavaScript; Swift,No,Employed full-time,Consulting,"1,000-4,999 employees",5,I'm somewhat satisfied with my job,Multiple times a day,Cats,,Agree completely,Disagree completely,Inefficient development processes; Fragile code base; Unspecific requirements
30062,Germany,25-29,Male,Developer,Embedded application developer,Embedded application developer,13,,C; C++; Haskell; Python,C; C++; Python,No,Employed full-time,Automotive,20-99 employees,0,I'm somewhat satisfied with my job,Multiple times a day,Cats,,,,
30065,Sweden,30-34,Male,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer,Full-stack web developer,Full-stack web developer,8,55000,AngularJS; Java; JavaScript,Android; Java; JavaScript; ReactJS,Yes,Freelance / Contractor,Consulting,1-4 employees,6,I'm somewhat satisfied with my job,Once a day,Cats,Star Wars,Agree completely,Disagree completely,Poor team dynamics; Fragile code base; Unspecific requirements
30066,United Kingdom,40-49,Male,Developer; Engineer; Programmer; Hacker,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",8,55000,Android; C#; iOS; Java; JavaScript; Objective-C; SQL,"Android; AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); iOS; Java; JavaScript; Objective-C; Swift; Windows Phone",Other (please specify),Employed full-time,Other (please specify),20-99 employees,2,I'm neither satisfied nor dissatisfied,A few times a month,Dogs,Star Wars,Agree somewhat,Disagree completely,Poor infrastructure or equipment; Unspecific requirements; Limited resources
30067,India,20-24,Male,Developer,Back-end web developer,Back-end web developer,1.5,15000,Java; JavaScript,"Cloud (AWS, GAE, Azure, etc.); Hadoop; Python",Yes,Employed full-time,Software Products,"10,000+ employees",2,I'm somewhat dissatisfied with my job,Once a day,Dogs,Star Trek,Agree completely,Agree completely,Outdated technologies; Non-technical management
